Year,5th,25th,50th,75th,95th,Mean
6.083333333333333,183096.51610120753,224422.7885655912,260862.90410909677,302680.8928315355,379032.0118253904,265895.5131945601
6.166666666666667,181918.72793918324,225881.79364405302,264052.43093025277,307558.5647962559,379756.0218838618,269309.772701999
6.25,187984.6405137262,228405.02751021535,264578.67920797435,308695.3428791872,382003.28128342616,271955.2605747762
6.333333333333333,189465.5313656185,231275.02972567952,267887.51254577667,312615.82982536335,383443.83147200174,274793.5039443303
6.416666666666667,189113.69034824846,231475.57960010244,273332.9519804723,314323.068055809,395423.6390154668,277933.53944836307
6.5,191798.03689740176,236095.84191105023,272011.6760315216,315390.78993471165,403045.57329871005,281047.4893234453
6.583333333333333,195944.68217115782,237131.42398333852,276529.01517112367,321565.1609845114,405038.0667072733,284326.1502656512
6.666666666666667,194997.50630923852,240423.89179507177,278459.73655894387,325145.30134817853,417379.3424572859,286811.2597845677
6.75,199138.7070485837,242647.0291361431,279828.73863678996,331353.64113230066,418113.2353263646,290244.95429255517
6.833333333333333,200700.8610288106,242313.12190744255,283136.0973196862,328318.4117584254,430331.63340345357,293033.311663679
6.916666666666667,204906.8840842443,245414.73797284963,288661.30795133027,333652.97184200195,429520.93530878186,296452.1698444158
7.0,208049.68473891306,248861.11854571104,290530.4514942551,341326.5919873105,434440.809229102,300139.9642489007
7.083333333333333,209524.5416006341,251232.10766928972,293912.07515198365,346503.13661872305,437214.8179024167,303639.8842325498
7.166666666666667,211375.77268340773,253316.53094813283,295955.91147559986,351081.2189017441,445505.49529003026,307129.771716013
7.25,210616.21874005694,255717.83771008422,298887.6707320543,354061.043970273,445123.14739331865,310015.5579613029
7.333333333333333,212617.08307848455,260548.2362465067,301439.19672309316,354305.5566186294,448467.1358168804,312541.9648727452
7.416666666666667,214003.0686131855,261374.38693932,305842.6456941648,361588.18153031677,454482.38331877865,316677.9931583608
7.5,214173.8058452688,262960.9313388283,310073.2151158658,364532.4077816828,454637.5651714288,319596.4290569508
7.583333333333333,214967.88474102842,266506.80474650575,313708.2988585581,366507.7099966837,460673.97748129687,322660.317840707
7.666666666666667,218788.50119484283,268383.384750896,317789.5011375146,369191.0480203568,472978.6580007648,326102.430925368
7.75,220507.72624740447,268792.00001274224,320566.4042882704,376545.3001318185,481683.2922059395,329803.1345202968
7.833333333333333,224642.10997768948,273608.7695795901,320172.3540241915,383811.7087813422,479737.01550939423,332529.77188551496
7.916666666666667,228096.0899204802,276005.4893960131,324515.89514903165,387236.75173931406,488519.8225666179,336400.65920133656
